20221117	11:10:47	454166bd-7359-4760-91b4-a6da3b0aa4e8	Error	Not allowed by CORS	OPTIONS	/	undefined
20221117	11:10:47	7541c2a4-f469-4ad6-9e04-a6a5834cb923	Error	Not allowed by CORS	GET	/	undefined
20221202	20:26:36	7b74c3a4-71cb-434d-98a2-cd12fc83ee8c	ValidationError	Invoice validation failed: user: Cast to ObjectId failed for value "misha" (type string) at path "user" because of "BSONTypeError"	POST	/invoices	undefined
20221202	20:27:16	08cc4f47-f8ea-4f0a-b8d0-a46afa3a3a85	ValidationError	Invoice validation failed: user: Cast to ObjectId failed for value "users._id" (type string) at path "user" because of "BSONTypeError"	POST	/invoices	undefined
20221202	21:53:53	5e950827-bc84-4c3c-98af-1951f8319dab	StrictPopulateError	Cannot populate path `User` because it is not in your schema. Set the `strictPopulate` option to false to override.	GET	/invoices	undefined
20221202	22:55:16	4a2aa722-d2bf-4290-8697-4f4f259ae78d	SyntaxError	Unexpected string in JSON at position 61	POST	/users	undefined
20221202	22:57:06	ed0e51ba-6acd-4776-a321-5c861ce84fe2	SyntaxError	Unexpected token } in JSON at position 20	GET	/users	undefined
20221202	22:59:30	3e224ded-5b84-422c-aadd-8b1901191d61	TypeError	Cannot read properties of undefined (reading 'customer')	POST	/invoices	undefined
20221202	23:00:11	e465af92-2f2b-4ec7-9b64-5ded1c9ad99f	TypeError	Cannot read properties of undefined (reading 'customer')	POST	/invoices	undefined
20221202	23:00:31	2928e1a2-1e18-4451-ba13-b41334ba6e23	TypeError	Cannot read properties of undefined (reading 'customer')	POST	/invoices	undefined
20221203	21:44:20	50458005-df06-4ece-a2b1-165915a19839	ObjectParameterError	Parameter "filter" to findOne() must be an object, got 638af2f7c884c783167175a2	POST	/invoices	undefined
20221203	21:48:04	7d0f36bd-9677-4f59-9ea3-e4dfe419e366	ObjectParameterError	Parameter "filter" to findOne() must be an object, got 638af2f7c884c783167175a2	POST	/invoices	undefined
20221204	17:54:38	d3bc7dd6-1792-4697-8c7d-77e5a84d3c0f	ReferenceError	invoices is not defined	GET	/invoices/638ad7445e1b92331439c547	undefined
20221204	17:57:41	936846de-f1fe-4078-9bb9-6c8106e4d09e	ReferenceError	invoices is not defined	GET	/invoices/638ad7445e1b92331439c547	undefined
20221204	18:25:02	5aa965ef-986e-4835-8889-70698b7b5184	Error	Not allowed by CORS	GET	/invoices	undefined
20221204	18:26:10	3f179883-ee8e-4940-b990-7d3dc41ed738	Error	Not allowed by CORS	GET	/invoices	undefined
20221204	18:26:38	915d54ee-94f7-4dec-a17b-1b759b05a28f	Error	Not allowed by CORS	GET	/invoices	undefined
20221204	18:26:58	a656068b-6b56-4f87-a560-22d06305dcf7	Error	Not allowed by CORS	GET	/invoices	undefined
20221204	21:52:27	f23b6669-9f5f-47f7-a03d-1e4ffa36e4a3	MongooseError	Query was already executed: Invoice.find({})	GET	/invoices	undefined
20221204	21:53:18	3f6cf296-73aa-478c-b36f-566006ae20ec	MongooseError	Query was already executed: Invoice.find({})	GET	/invoices	undefined
20221204	21:53:28	5149b5aa-ad4b-4f32-b5ee-0b43c8a99859	MongooseError	Query was already executed: Invoice.find({})	GET	/invoices	undefined
20221204	21:54:11	84e70de3-010a-4c81-b69d-3ae730974e25	MongooseError	Query was already executed: Invoice.find({})	GET	/invoices	undefined
20221204	22:11:46	92cbb5b4-1efc-4483-b08a-ae74eb5a1df1	StrictPopulateError	Cannot populate path `item` because it is not in your schema. Set the `strictPopulate` option to false to override.	GET	/invoices	undefined
20221204	22:12:08	20e99e03-3347-4a24-9f3f-663ee3069325	StrictPopulateError	Cannot populate path `Item` because it is not in your schema. Set the `strictPopulate` option to false to override.	GET	/invoices	undefined
20221204	22:31:50	060f68a6-cd0b-4611-b6fb-5009456ecb7e	StrictPopulateError	Cannot populate path `item` because it is not in your schema. Set the `strictPopulate` option to false to override.	GET	/invoices	undefined
20221208	19:38:22	4e5463b1-9f0e-49b9-b85b-1c1883eddf8a	ReferenceError	userRole is not defined	POST	/users	undefined
20221208	19:39:03	9b29765b-d7f6-4bdf-99d2-411fcfe49b1d	ValidationError	User validation failed: regId: Path `regId` is required., roles.0: `employee` is not a valid enum value for path `roles.0`.	POST	/users	undefined
20221208	19:40:51	002ac6ca-37eb-4362-a557-baf304bb992d	ValidationError	User validation failed: regId: Path `regId` is required., roles.0: `employee` is not a valid enum value for path `roles.0`.	POST	/users	undefined
20221208	19:42:54	90c98967-613d-4826-89f1-a7bd993c0883	ValidationError	User validation failed: regId: Path `regId` is required.	POST	/users	undefined
20221208	19:44:34	f6fea4a7-120d-4b69-9715-f414d83a5104	ValidationError	User validation failed: roles.0: `employee` is not a valid enum value for path `roles.0`.	POST	/users	undefined
20221208	20:08:27	4ef66265-560c-498c-9336-8c71d44eaee3	TypeError	Cannot read properties of undefined (reading 'toString')	POST	/users	undefined
20221208	20:11:12	183dea8e-5fbb-4c7f-9146-35f392ba071d	TypeError	Cannot read properties of undefined (reading 'valueOf')	POST	/users	undefined
20221208	20:11:51	c0468e45-ed9b-4e21-b05b-eb4b8ba1633b	TypeError	Cannot read properties of undefined (reading 'valueOf')	POST	/users	undefined
20221208	20:23:53	e9af7e60-17d0-43d9-8afa-2cc9f358d3e4	TypeError	Cannot read properties of undefined (reading 'Types')	POST	/users	undefined
20221208	20:24:04	b6dac323-7290-4481-b442-efb10bcf59b5	TypeError	Cannot read properties of undefined (reading 'ObjectId')	POST	/users	undefined
20221208	20:24:15	f2ed8226-efa6-49d1-8862-713f4a68d410	TypeError	Cannot read properties of undefined (reading '_Id')	POST	/users	undefined
20221208	20:24:23	a6d05590-ef8d-4b0e-9293-841bd8e9cc8b	TypeError	Cannot read properties of undefined (reading '_id')	POST	/users	undefined
20221208	20:33:03	1e16f871-3cda-4e66-9ff9-6c59602ae5da	TypeError	Cannot read properties of undefined (reading 'firstName')	POST	/users	undefined
20221208	20:41:53	a11e59f8-ac6c-46a0-8165-c1c4b02f9c7e	TypeError	Cannot read properties of null (reading '_id')	POST	/users	undefined
20221208	20:42:16	8a4c6a3f-13eb-4611-b176-1e054374cc35	TypeError	Cannot read properties of null (reading '_id')	POST	/users	undefined
20221208	20:43:20	cdf6b8b1-2ec4-452c-8262-e35e709558ff	TypeError	Cannot read properties of null (reading '_id')	POST	/users	undefined
20221208	22:58:16	a924576d-4141-4268-be3c-4f586f155d02	SyntaxError	Unexpected token a in JSON at position 21	POST	/customers/6392bd51655cb0d52606e916	undefined
20221208	23:29:39	1c81c6d8-6e22-4581-b92e-7c6499760d3c	StrictPopulateError	Cannot populate path `invoices` because it is not in your schema. Set the `strictPopulate` option to false to override.	GET	/users	undefined
20221208	23:31:32	bb7163c1-fbdc-466e-9ae0-5b0e9dabae79	TypeError	User.find(...).select(...).populate(...).populate(...).then(...).lean is not a function	GET	/users	undefined
20221208	23:32:03	fb5ed874-2809-4afb-b2a8-188264bde4c5	TypeError	User.find(...).select(...).populate(...).populate(...).then(...).lean is not a function	GET	/users	undefined
20221208	23:36:59	f514ae75-f2f5-45fe-b957-13e647eab3a8	TypeError	Cannot read properties of undefined (reading '_id')	GET	/users	undefined
20221208	23:37:12	748cc902-d730-4831-b5ba-52852f105e46	TypeError	Cannot read properties of undefined (reading '_id')	GET	/users	undefined
20221208	23:37:30	0c28a2b8-df40-45e1-b911-4832869fcc4c	TypeError	Cannot read properties of undefined (reading 'id')	GET	/users	undefined
20221208	23:37:38	265a3137-09c0-42e3-be23-b375ee49daf1	TypeError	Cannot read properties of undefined (reading '_id')	GET	/users	undefined
20221208	23:57:12	020b3433-9335-4e30-85dc-eaa585106450	SyntaxError	Unexpected string in JSON at position 50	POST	/users	undefined
20221208	23:57:31	25f90a2d-c455-4369-b6a3-2035fcf4e8ce	TypeError	Cannot read properties of null (reading '_id')	POST	/users	undefined
20221212	13:02:53	7ab5068f-b397-4d4b-a365-238d1dca897a	SyntaxError	Unexpected string in JSON at position 186	POST	/customers	undefined
20221212	17:02:16	d9180832-15a3-431c-8321-35aaeb5a6dad	TypeError	Cannot read properties of undefined (reading 'state')	POST	/employees	undefined
20221212	17:07:07	ab4fd663-419d-4e3a-a7c8-4dfbbf7624e6	ReferenceError	bcrypt is not defined	POST	/employees	undefined
20221212	17:07:28	f61aa0e0-1695-46ee-b985-57fdb3e5b7e3	ReferenceError	bcrypt is not defined	POST	/employees	undefined
20221212	18:00:37	817f77b9-bcf7-4e22-9403-066c3d21a884	SyntaxError	Unexpected token { in JSON at position 1	POST	/employee/login	undefined
20221212	20:23:45	f5f56b83-4893-4524-88c4-69b386818cdf	TypeError	Cannot read properties of undefined (reading 'split')	GET	/employees/	undefined
20221212	22:03:59	c562dc2e-f782-48d5-9a48-093636338a7e	TypeError	Cannot read properties of undefined (reading 'split')	GET	/employees/employee	undefined
20221212	22:04:18	4dec1a59-1826-4355-8f97-347b8b6492c5	TypeError	Cannot read properties of undefined (reading 'split')	GET	/employees	undefined
20221213	18:18:05	1d2c7b91-1acf-435a-8a86-6a26cf401942	StrictPopulateError	Cannot populate path `user` because it is not in your schema. Set the `strictPopulate` option to false to override.	GET	/invoices	undefined
20221213	18:28:54	bd005de9-29cd-401d-b7dd-d1b3a804d228	TypeError	Cannot read properties of undefined (reading 'split')	GET	/customers	undefined
20221213	18:29:23	5077395b-ecb0-4c38-9623-f8116d9824cd	TypeError	Cannot read properties of undefined (reading 'split')	GET	/customers	undefined
20221213	18:45:12	4ce52ab2-540a-46a3-8a71-e9398c5ab71c	TypeError	Cannot read properties of undefined (reading 'split')	GET	/customers	undefined
20221213	18:45:15	05fa56df-0813-4530-95e6-39264711cc08	TypeError	Cannot read properties of undefined (reading 'split')	GET	/customers/login	undefined
20221213	18:46:49	13020565-51a9-4e63-a669-b58f0216cce8	TypeError	Cannot read properties of undefined (reading 'split')	GET	/employees	undefined
20221213	18:46:59	dc1e4040-2c3c-4063-9f6d-608b730e2903	Error	data and salt arguments required	POST	/employees	undefined
20221213	18:51:51	e224a295-d847-4fb2-8b80-d9f13661d11f	StrictPopulateError	Cannot populate path `user` because it is not in your schema. Set the `strictPopulate` option to false to override.	GET	/invoices	undefined
20221213	19:09:07	a0096aa8-ddfb-4ab4-a1b2-2f570e722d80	ReferenceError	Invoices is not defined	GET	/invoices/myInvoices	undefined
20221213	20:02:35	659fbf7c-6071-4c56-8721-136b58ee8918	ReferenceError	hashedPwd is not defined	PATCH	/employees/id	undefined
20221213	20:02:47	e6f4730b-ddd8-4c27-a735-3e4abedeb755	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	20:03:30	b49c4b46-59bf-4e26-b8a2-d99dd751cc59	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	20:03:40	4092987d-1fc1-4945-9bff-9bfce32a7f04	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	20:03:51	7794cfd7-13c4-446f-995d-41c89d661add	SyntaxError	Unexpected token } in JSON at position 65	PATCH	/employees/id	undefined
20221213	20:08:27	526bb9d0-fddd-418a-8d59-731a939c5216	MongoServerError	Plan executor error during findAndModify :: caused by :: The field 'email' must be an array but is of type string in document {_id: ObjectId('6397e5921fcabcd0d15dfc1a')}	PATCH	/employees/id	undefined
20221213	20:09:20	74f91355-aa68-4be6-bca0-541e63038627	MongoServerError	Plan executor error during findAndModify :: caused by :: The field 'email' must be an array but is of type string in document {_id: ObjectId('6397e5921fcabcd0d15dfc1a')}	PATCH	/employees/id	undefined
20221213	20:13:32	4220ec74-23e6-4e50-a769-8ac766b1f5fb	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	20:47:15	fbb37494-afc8-4474-863d-256eb841ceb9	TypeError	Cannot read properties of undefined (reading 'split')	PATCH	/employees/id	undefined
20221213	20:48:55	e37abf8c-3147-4048-83df-6dc2a0efefb6	SyntaxError	Unexpected token a in JSON at position 32	PATCH	/employees/id	undefined
20221213	20:56:40	5689ddba-f958-418d-829a-b8043e0ffa19	ReferenceError	hashedPwd is not defined	PATCH	/employees/id	undefined
20221213	20:56:50	3a3c98ee-3f87-4c2b-a48c-272deba22430	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	20:57:14	0081e260-27c9-4f2a-93bf-8c8f2a5ab709	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	20:57:21	db98ff9a-4eac-47f3-a0cd-5a5e01134a46	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	21:00:06	07b5e8bd-783f-4647-aca0-daa27b7a538a	TypeError	Cannot read properties of undefined (reading 'state')	PATCH	/employees/id	undefined
20221213	21:01:03	10b07699-f382-4f85-93a4-147ee0329d0e	ObjectParameterError	Parameter "filter" to updateOne() must be an object, got 6397e5921fcabcd0d15dfc1a	PATCH	/employees/id	undefined
20221213	21:04:15	13074a32-6398-4601-9105-70d42ea4ed0f	CastError	Cast to [ObjectId] failed for value "[ '[req.body.invoices]' ]" (type string) at path "invoices.0" because of "CastError"	PATCH	/employees/id	undefined
